"station","yearmonth","seasonal_mean"
"afognak",2010-05-01,7.05983809677419
"afognak",2010-06-01,11.4136388666667
"afognak",2010-07-01,13.8801747741935
"afognak",2010-08-01,14.6498523225806
"afognak",2010-09-01,13.0579166833333
"afognak",2011-05-01,6.99362906451613
"afognak",2011-06-01,11.0806249333333
"afognak",2011-07-01,15.0460887741935
"afognak",2011-08-01,15.1944757741935
"afognak",2011-09-01,11.79968045
"afognak",2012-05-01,6.2758065516129
"afognak",2012-06-01,12.0638056833333
"afognak",2012-07-01,14.0448387903226
"afognak",2012-08-01,14.3388710483871
"afognak",2012-09-01,11.4442499833333
"afognak",2013-05-01,8.32851196190476
"afognak",2013-06-01,13.2086109166667
"afognak",2013-07-01,17.0300671129032
"afognak",2013-08-01,15.3939919193548
"afognak",2013-09-01,12.0859861266667
"afognak",2014-05-01,11.5007527096774
"afognak",2014-06-01,13.6284026666667
"afognak",2014-07-01,16.6345698387097
"afognak",2014-08-01,16.158770675
"afognak",2015-06-01,15.0014063125
"afognak",2015-07-01,16.3000135
"afognak",2015-08-01,16.3532526451613
"afognak",2015-09-01,11.2020416466667
"afognak",2016-05-01,10.6582257741935
"afognak",2016-06-01,14.8695833666667
"afognak",2016-07-01,17.5442203548387
"afognak",2016-08-01,17.0577285483871
"afognak",2016-09-01,13.82181935
"afognak",2017-05-01,7.58861561612903
"afognak",2017-06-01,12.23383345
"afognak",2017-07-01,15.4036828387097
"afognak",2017-08-01,15.2451815833333
"afognak",2017-09-01,12.1102317666667
"buskin",2010-05-01,5.27711017096774
"buskin",2010-06-01,6.5440886125
"buskin",2010-08-01,11.93835075
"buskin",2010-09-01,10.6253472166667
"buskin",2011-05-01,5.26142474193548
"buskin",2011-06-01,6.94912146875
"buskin",2012-05-01,4.5336827516129
"buskin",2012-06-01,7.56317145666667
"buskin",2012-07-01,10.0758468548387
"buskin",2012-08-01,11.0782527419355
"buskin",2012-09-01,9.36568063
"buskin",2013-05-01,5.58904573225806
"buskin",2013-06-01,8.93945840666667
"buskin",2013-07-01,11.0105836
"buskin",2013-08-01,12.2373387419355
"buskin",2013-09-01,9.38334724666667
"buskin",2014-05-01,10.0796112
"buskin",2014-06-01,10.1681249733333
"buskin",2014-07-01,13.6543950967742
"buskin",2014-08-01,12.771693516129
"buskin",2014-09-01,10.9946944333333
"buskin",2015-05-01,7.16914735483871
"buskin",2015-06-01,12.6563473
"buskin",2015-07-01,13.4223923870968
"buskin",2015-08-01,14.1017069032258
"buskin",2015-09-01,9.92701396
"buskin",2016-05-01,9.6898214047619
"buskin",2016-06-01,11.4349721833333
"buskin",2016-07-01,14.369798516129
"buskin",2016-08-01,14.1205240806452
"buskin",2016-09-01,11.6020138666667
"buskin",2017-05-01,5.96093325483871
"buskin",2017-06-01,9.68597225
"buskin",2017-07-01,12.1162769354839
"buskin",2017-08-01,11.7725403870968
"buskin",2017-09-01,9.6622221
"klag",2010-05-01,13.7832122903226
"klag",2010-06-01,14.7168001166667
"klag",2010-07-01,15.1709677903226
"klag",2010-08-01,16.3049326774194
"klag",2010-09-01,13.4579027666667
"klag",2011-06-01,17.2632574
"klag",2011-07-01,16.254650516129
"klag",2011-08-01,15.2990591451613
"klag",2011-09-01,12.2096526666667
"klag",2012-05-01,9.77130373225806
"klag",2012-06-01,14.1619026166667
"klag",2012-07-01,15.2949193870968
"klag",2012-08-01,15.7356318548387
"klag",2012-09-01,12.6871110666667
"klag",2013-05-01,11.6253224935484
"klag",2013-06-01,17.0212083833333
"klag",2013-07-01,17.4179570645161
"klag",2013-08-01,17.8210886451613
"klag",2013-09-01,13.98187495
"klag",2014-05-01,13.6648386935484
"klag",2014-06-01,15.1527777833333
"klag",2014-07-01,16.7959139677419
"klag",2014-08-01,17.0058333387097
"klag",2014-09-01,14.3160139
"klag",2015-05-01,13.6461963064516
"klag",2015-06-01,16.0224861
"klag",2015-07-01,17.0935887580645
"klag",2015-08-01,16.5672715483871
"klag",2015-09-01,12.58412365
"klag",2016-05-01,13.2917339516129
"klag",2016-06-01,16.2278749833333
"klag",2016-07-01,17.3983065806452
"klag",2016-08-01,16.8325941612903
"klag",2016-09-01,15.8515477142857
"klag",2017-06-01,10.9649620454545
"klag",2017-07-01,16.1149058064516
"klag",2017-08-01,16.924892483871
"klag",2017-09-01,13.6182360666667
"neva",2010-05-01,12.0795161290323
"neva",2010-06-01,14.8381943
"neva",2010-07-01,14.5229703709677
"neva",2010-08-01,16.3596237096774
"neva",2010-09-01,13.4311944333333
"neva",2011-05-01,10.5174327387097
"neva",2011-06-01,14.51193045
"neva",2011-07-01,16.3855510645161
"neva",2011-08-01,14.9526075967742
"neva",2011-09-01,11.33987515
"neva",2012-05-01,8.90698926129032
"neva",2012-06-01,12.3994166333333
"neva",2012-07-01,13.9407661451613
"neva",2012-08-01,15.2078764032258
"neva",2012-09-01,13.1184675454545
"neva",2013-05-01,9.05533609677419
"neva",2013-06-01,15.4236945
"neva",2013-07-01,17.319892516129
"neva",2013-08-01,18.5645699677419
"neva",2013-09-01,15.0129306166667
"neva",2014-05-01,12.0024328
"neva",2014-06-01,13.9938473166667
"neva",2014-07-01,16.5683066290323
"neva",2014-08-01,15.8295295483871
"neva",2014-09-01,12.8261944333333
"neva",2015-05-01,13.6477284516129
"neva",2015-06-01,16.3055555
"neva",2015-07-01,17.6103629032258
"neva",2015-08-01,16.711814483871
"neva",2015-09-01,12.12304175
"neva",2016-05-01,12.0872580322581
"neva",2016-06-01,15.99937505
"neva",2016-07-01,18.3030913870968
"neva",2016-08-01,17.3206316451613
"neva",2016-09-01,13.8401249833333
"neva",2017-05-01,11.1217740967742
"neva",2017-06-01,13.4526388166667
"neva",2017-07-01,15.2889784354839
"neva",2017-08-01,16.5984946290323
"neva",2017-09-01,12.5765971833333
